Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No
0,0,0,1,1,-0.9542963467194051,1,1,0.02665191521705399,-0.7456070105134281,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0,1,0,0,0,-0.9542963467194051,1,0,-0.16281861198951006,-0.7680634524870338,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,1,0,0,0,-1.1580161531009565,1,1,0.30254759518450747,-0.8834560339840198,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,1,1,0,-0.791320501614164,1,1,1.1036422803912085,-0.4612396298830237,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,1,1,0,-1.1987601143772668,1,1,0.6349520288802342,-0.8893900053896189,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
0,0,0,0,1,-0.9542963467194051,1,1,0.1529656000214305,-0.7552469566258698,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
0,0,1,1,0,1.5718292524118322,1,1,1.4925554678152089,2.479892487461679,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,1,0,1,0,1.24587756220135,1,1,0.6598823614074136,1.3652544162590023,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
0,0,1,0,0,-1.0357842692720256,1,1,-0.5517317994135101,-0.8572053798105514,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,1,1,1.3273654847539706,1,1,0.8526769329509349,1.6211872647636918,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,1,0,0,0,0.8791819107145575,0,0,-0.6514531295222281,0.07820028369512474,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,0,1,1,1.6125732136881425,1,1,1.7285626157391745,2.7236485619296,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,0,1,0,-1.1172721918246462,1,1,0.1380074005051227,-0.8522861395746829,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,0,1.6125732136881425,1,1,1.213335743510798,2.19620894740218,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,0,0,0,0.9606698332671781,0,0,-0.6564391960276642,0.12212049584586043,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,0,0,1,1,1.5718292524118322,1,1,1.02885128280967,2.0145058899006174,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,1,1,0.06430268518835193,0,0,-0.11794401344058691,-0.12798867811950493,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False
0,0,1,0,0,-1.2802480369298874,1,1,0.24271479711927632,-0.9755539173237094,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,1,0,0,0.512486259227765,1,0,-0.06974537055470645,0.22421127527007206,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
1,1,1,0,0,-1.2802480369298874,0,1,-1.3195860412506386,-0.996289728183424,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,0,0.7162060656093164,1,0,-1.3162619969136813,-0.43104034789690754,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,1,0,-0.791320501614164,1,0,0.974004551249875,-0.4710560509815056,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,1,1,-0.38388088885106114,1,1,0.6299659623747981,-0.19118878249512425,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,0,0,-1.1987601143772668,1,0,-1.494098368940895,-0.9821276105537041,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,0,0,1,1,-1.1580161531009565,1,0,-1.477478147256109,-0.9736788705970331,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True
1,0,0,1,1,-1.2802480369298874,0,0,-1.1400876470549464,-0.9939073158718823,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,1,0.9199258719908678,1,1,1.2931128075977727,1.4883236596487337,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False
0,1,0,1,1,0.8791819107145575,1,0,-1.4758161250876303,-0.5262044841190443,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
0,1,0,0,0,-0.26164900502213034,1,1,-1.5024084797832884,-0.7991892281498607,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,1,1,1.4903413298592119,1,0,-1.499084435446331,-0.3910687635588194,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,1,0,1,1,0.18653456901728277,1,0,0.8776072654781145,0.4254148187290683,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False
0,0,0,1,0,0.6754621043330061,1,0,-1.4741541029191516,-0.6098977462485728,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,0,1,0,1.368109446030281,1,0,1.695322172369602,2.4966134923889807,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False
0,0,0,0,0,1.4088534073065913,1,0,-1.4708300585821945,-0.41467229294168595,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,1,1,-0.506112772679992,0,1,-0.8442477010657496,-0.6432073998636463,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,0,0,0,1,0.4309983366751445,1,1,-1.3195860412506386,-0.5352267677803455,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True
0,0,0,1,0,0.9199258719908678,1,1,0.8310706447607126,1.180749818354053,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,0,1,0,1.082901717096109,1,1,0.9956108394400973,1.4622494804613053,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,1,1,-0.8320644628904743,1,0,-1.4791401694245876,-0.9083169476424222,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,1,0,1,1,-0.22090504374582004,1,1,0.36404241541821675,-0.15631291337894482,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,0,-1.2395040756535771,1,1,-0.5168293338754589,-0.9671713554868036,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0,0,-0.22090504374582004,1,0,0.44548150167366984,-0.0901568529871535,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False
0,1,0,1,1,-0.3023929662984406,1,0,-1.3062898639028098,-0.7291507180651866,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True
0,1,0,1,1,-0.3023929662984406,1,1,-0.10630985826123643,-0.2966105272808432,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,0,0,1,-0.13941712119319946,0,1,-0.6581012181961428,-0.45921016754356225,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0,1,0,1,0,1.6125732136881425,1,1,0.6765025830921999,1.7792647335091327,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,0,0,0,-0.7505765403378537,1,0,-0.4437003584623989,-0.6862452370841815,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,0,0,0,0,0.10504664646466222,1,1,1.1451928346031743,0.5509105931768512,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False
